Country,Region,Improved_Drinking_Water_Access,Unimproved_Drinking_Water_Access,Improved_Sanitation_Access,Unimproved_Sanitation_Access,Urban_Population,Rural_Population,Population,Population_under_1yo,Population_under_15yo,Population_aged_15to64
Afghanistan,Southern Asia,76.54,14.56,61.44,27.77,10142913,28829316,38972236,1338671,17072924,20957368
Albania,Southern Europe,96.95,3.05,99.87,0.13,1762645,1075204,2866850,28415,472214,1941039
Algeria,Northern Africa,99.42,0.53,96.47,3.53,32038217,11413449,43451668,967564,13316667,27520308
Andorra,Southern Europe,100,0,100,0,68311,9389,77723,347,10363,56319
Angola,Middle Africa,66.46,19.45,72.66,9.37,22338586,11089900,33428490,1248319,15145310,17417386
Antigua and Barbuda,Caribbean,,,,,22641,70023,92672,1088,17680,65897
Argentina,South America,,,,,41796990,3579773,45036030,643279,10653903,29100548
Armenia,Western Asia,99.97,0.03,94.36,5.63,1776315,1029293,2805610,35438,570752,1886739
Aruba,Caribbean,,,,,46574,60011,106597,927,18494,72176
Australia,Australia and New Zealand,99.97,0.03,99.99,0.01,22125378,3529911,25670052,302845,4759671,16743212
Austria,Western Europe,100,0,99.97,0.03,5238479,3678385,8907780,83425,1283005,5918984
Azerbaijan,Western Asia,97.09,2.91,,,5692217,4400904,10284952,137281,2491437,7127920
Bahamas,Caribbean,,,,,338367,68104,406478,4615,81970,290853
Bahrain,Western Asia,100,0,100,0,1322423,155046,1477478,19192,299912,1130321
Bangladesh,Southern Asia,98.85,0.46,78.01,21.99,63916296,103504660,167420940,2964110,45173816,112816370
Barbados,Caribbean,98.78,1.22,100,0,87551,193142,280704,3019,48765,189390
Belarus,Eastern Europe,99.91,0.09,99.54,0.46,7455467,1924485,9633745,90473,1622295,6416801
Belgium,Western Europe,100,0,100,0,11316947,221657,11561716,115905,1941616,7399372
Belize,Central America,99.65,0.35,97.26,2.17,181762,213159,394931,7138,113644,262301
Benin,Western Africa,74.73,21.97,36.62,11.8,6121168,6521955,12643121,445252,5400214,6852377
Bermuda,Northern America,99.9,0.1,99.9,0.1,63893,0,64051,516,9565,42300
Bhutan,Southern Asia,99.77,0.18,86.36,13.64,326894,445612,772512,9621,181741,544167
Bolivia,,93.53,1.58,83.08,7.13,8369995,3566167,11936169,256704.98,3748199,7593735
Bosnia and Herzegovina,,,,,,,,,,,
Botswana,Southern Africa,96.94,1.73,85.6,4.59,1804813,741589,2546404,60096,844662,1611383
Brazil,South America,99.45,0.55,90.17,9.52,185636418,27559886,213196300,2805031,44418960,148969800
Brunei,,99.9,0.1,,,345650,96075,441736,6268,100004,317579
Bulgaria,Eastern Europe,99.01,0.99,100,0,5248079,1685936,6979181,60022,978415,4446840
Burkina Faso,Western Africa,78.49,21.16,53.96,6.12,6587430,14935196,21522632,740889,9564120,11407225
Burundi,Eastern Africa,81.65,14.76,58.36,39.06,1675149,10545078,12220229,418984,5709324,6209464
Cambodia,South-eastern Asia,85.12,5.68,76.77,3.95,3973287,12423573,16396864,320805,4857657,10674665
Cameroon,Middle Africa,78.6,15,59.69,34.77,15248270,11242817,26491090,899533,11291870,14474162
Canada,Northern America,99.22,0.78,99.03,0.97,31023904,7013300,37888704,372272,6012316,25049438
Cape Verde,,96.67,3.21,85.55,0,388341,194299,582646,9919,157563,393799
Cayman Islands,Caribbean,,,,,67311,0,67327,682,11371,50880
Central African Republic,Middle Africa,62.88,33.54,29.9,44.95,2254648,3088372,5343024,210659,2575786,2634787
Chad,Middle Africa,60.93,31.56,17.3,18.63,3914834,12729867,16644707,683506,7958952,8347425
Chile,South America,100,0,100,0,16931587,2368728,19300318,227587,3593501,13314433
China,Eastern Asia,95.08,4.73,94.92,4.76,866810508,544289500,1424929800,13362303,256845310,988568060
Colombia,South America,97.68,0.95,96.99,0.43,41470292,9460370,50930656,731398,11165204,35450452
Comoros,Eastern Africa,,,,,236852,569314,806168,23198,310134,461090
Congo,Middle Africa,84.25,9.56,54.69,36.86,3867728,1834446,5702183,172006,2376205,3175001
Costa Rica,Central America,100,0,98.68,1.2,4137983,985122,5123107,63425,1070751,3528858
Croatia,Southern Europe,,,99.02,0.98,2329561,1718119,4096872,36059,581459,2631680
Cuba,Caribbean,98.47,1.25,93.02,6.74,8723461,2577237,11300695,107459,1792349,7750885
Cyprus,Western Asia,99.77,0.23,99.4,0.6,826935,410602,1237540,13195,198080,864292
Czech Republic,,,,,,,,,,,
Denmark,Northern Europe,100,0,100,0,5138400,693004,5825638,61166,947763,3710014
Djibouti,Eastern Africa,90.81,7.02,73.78,10.04,850998,239158,1090162,23659,340031,701532
Dominica,Caribbean,,,,,51181,20814,72011,942,14491,50908
Dominican Republic,Caribbean,97.15,1.27,96.32,1.43,9079123,1920541,10999668,203115,3038477,7195060
East Timor,,,,,,407158,892837,1299998,31767,467282,762874
Ecuador,South America,95.36,2.6,98.88,0.22,11285898,6302697,17588596,297635,4659212,11602474
Egypt,Northern Africa,99.68,0.32,98.94,1.06,45976808,61488330,107465130,2446149,35689372,66715544
El Salvador,Central America,98.15,0.32,99.23,0.47,4621633,1671098,6292734,101165,1641397,4141383
Equatorial Guinea,Middle Africa,,,,,1166712,429337,1596057,47407,620158,925356
Eritrea,Eastern Africa,,,,,1470245,2085623,3555869,98989,1437457,1976297
Estonia,Northern Europe,99.59,0.41,99.84,0.16,920415,409107,1329449,14034,218904,842242
Ethiopia,Eastern Africa,76.36,18.64,17.74,65.27,25424568,91766344,117190920,3695352,47243396,66279330
Faroe Islands,Northern Europe,,,,,,,52440,705,10845,32254
Fiji,Melanesia,94.3,3.32,100,0,526914,393508,920430,17891,268642,600795
Finland,Northern Europe,100,0,100,0,4728699,800844,5529468,46141,865987,3419895
France,Western Europe,100,0,100,0,54715704,12855403,64480052,669559,11317637,39615450
French Polynesia,Polynesia,100,0,97,3,187115,114805,301935,3893,66781,207258
Gabon,Middle Africa,93.08,6.92,78.72,19.27,2065425,227148,2292583,61882,837417,1365648
Gambia,Western Africa,89.54,10.35,60.02,39.88,1610858,963137,2574005,84038,1130640,1380167
Georgia,Western Asia,97.35,2.63,86.73,13.26,2213266,1509450,3765912,49360,787338,2432454
Germany,Western Europe,100,0,100,0,64410589,18750282,83328990,769576,11459030,53567804
Ghana,Western Africa,92.38,2.81,71.14,11.08,18455138,13725263,32180402,875633,12093915,18990580
Greece,Southern Europe,100,0,100,0,8528388,2170211,10512232,81641,1490359,6690111
Greenland,Northern America,100,0,100,0,49198,7169,56049,840,11714,39293
Grenada,Caribbean,,,,,45183,78480,123672,2002.0001,29841,81846
Guatemala,Central America,95.04,3.22,78.8,19.17,8738685,8119648,17362716,377738,5812782,10707740
Guinea,Western Africa,85.24,6.3,57.97,30.22,4869400,8335753,13205157,435745,5560605,7197317
Guinea Bissau,,,,,,,,,,,
Guyana,South America,96.76,1.14,96.02,3.37,213539,583663,797207,16129,230168,518827
Haiti,Caribbean,76.51,23.49,65.59,16.28,6454827,4851974,11306804,260363,3690861,7114698
Honduras,Central America,96.11,3.89,93.04,2.79,5906960,4214803,10121762,213080,3144533,6560498
Hong Kong,,100,0,96.5,3.5,7481000,0,7500955,56977,918385,5175360
Hungary,Eastern Europe,100,0,100,0,7014452,2735697,9750571,92934,1419389,6371566
Iceland,Northern Europe,100,0,100,0,344101,22362,366682,4494,68604,244638
India,Southern Asia,95.47,3.96,83.37,1.71,487702168,908684900,1396387100,22805892,364629250,938586430
Indonesia,South-eastern Asia,93.27,5.55,92.54,1.35,153983073,117874900,271858000,4463186,69918980,183698640
Iran,,99.42,0.51,100,0,66230561,21059632,87290190,1261440,20943076,60142824
Iraq,Western Asia,99.25,0,99.97,0.03,30169923,12387061,42556988,1151667,16378370,24730458
Ireland,Northern Europe,97.4,2.6,98.29,1.71,3173345,1812037,4946123,59544,998019,3228725
Israel,Western Asia,100,0,99.95,0.05,8531985,683115,8757487,179639,2472880,5250724
Italy,Southern Europe,99.92,0.08,99.99,0.01,42224765,17214086,59500576,412339,7650586,37943470
Ivory Coast,,,,,,,,,,,
Jamaica,Caribbean,96.4,1.86,98.95,0.25,1588216,1232220,2820438,33133,587584,2034221
Japan,Eastern Asia,99.08,0.92,99.92,0.08,115884871,10376129,125244760,824119,14923798,73269580
Jordan,Western Asia,99.09,0.85,98.74,1.15,9990818,937903,10928723,239951,3612869,6921054
Kazakhstan,Central Asia,97.38,2.55,99.91,0.09,10816580,7939086,18979250,412280,5550376,11940132
Kenya,Eastern Africa,71.17,9.78,58.17,33.32,14553419,37432360,51985780,1405043,20260428,30268152
Kiribati,Micronesia,82.05,17.95,62.11,8.12,70306,56157,126473,3380,45769,76036
Kuwait,Western Asia,100,0,100,0,4360444,0,4360451,51054,914572,3272158
Kyrgyzstan,Central Asia,93.6,1.87,100,0,2425088,4154812,6424880,161403,2207150,3943514
Laos,,88.79,10.63,82.16,1.35,2656210,4663189,7319397,159244,2296412,4709818
Latvia,Northern Europe,99.46,0.54,94.61,5.39,1298292,602157,1897057,17337,296894,1194186
Lebanon,Western Asia,100,0,100,0,5035754,627169,5662924,84703,1576278,3557160
Lesotho,Southern Africa,82.58,12.22,71.42,6.59,654320,1599780,2254104,56680,771520,1387662
Liberia,Western Africa,83.96,3.49,47.5,14.82,2650072,2437512,5087591,153681,2109139,2806732
Libya,Northern Africa,99.89,0.11,99.25,0,5369132,1284810,6653946,121322,1956248,4377971
Lithuania,Northern Europe,98.01,1.99,96.05,3.95,1901807,893078,2820269,27317,425018,1819347
Luxembourg,Western Europe,99.88,0.12,99.97,0.03,576537,53882,630401,6424,100742,437881
Macau,,,,,,,,,,,
Macedonia,,,,,,,,,,,
Madagascar,Eastern Africa,56.1,32.31,32.58,25.04,10876290,17348888,28225182,851530,11210943,16097992
Malawi,Eastern Africa,92,5.78,40.04,55.5,3376840,16000221,19377058,622966,8473150,10363485
Malaysia,South-eastern Asia,97.45,2.55,,,25617115,7582878,33199988,508682,7727992,23144108
Maldives,Southern Asia,99.59,0.41,99.45,0.55,209217,305221,514451,7509,112094,379794
Mali,Western Africa,86.4,12.25,62.71,32.35,9319264,11904776,21224042,841745,10104338,10589973
Malta,Southern Europe,100,0,99.96,0.04,488246,27086,515364,4497,68021,350241
Marshall Islands,Micronesia,99.96,0.04,89.68,0.57,33773,9640,43437,888,14815,26917
Mauritania,Western Africa,85.16,14.82,57.48,11.85,2488943,2009661,4498605,143571,1906329,2443602
Mauritius,Eastern Africa,99.87,0.13,,,515916,749824,1297830,13207,221018,923887
Mayotte,Eastern Africa,96.37,3.63,100,0,,,305591,10742,136689,160298
Mexico,Central America,99.68,0.32,99.21,0.69,101719689,24278612,125998296,1942516,31923940,83967736
Moldova,,92.09,7.91,89.95,9.92,1129127,1506003,3084848,38977,606152,2066699
Mongolia,Eastern Asia,87.64,6.63,88.81,2.76,2261792,1032543,3294340,74465,1060842,2093147
Montenegro,Southern Europe,99.4,0.59,98.02,1.94,419307,201999,629058,7233,114526,414092
Morocco,Northern Africa,95.67,2.88,88.79,9.48,23309111,13379661,36688770,651302,9939594,24125460
Mozambique,Eastern Africa,73.35,16.73,42.18,37.08,11559020,19619220,31178242,1094882,13675861,16691704
Myanmar,South-eastern Asia,85.31,5.11,85.22,7.78,16636518,36786680,53423200,903680,13421837,36553348
Namibia,Southern Africa,91.36,3.74,48.06,4.78,1295152,1193946,2489099,67778,901143,1487576
Nepal,Southern Asia,94.05,4.7,87.66,2.55,6038773,23309854,29348626,591159,8838598,18737430
Netherlands,Western Europe,100,0,100,0,16087342,1354158,17434562,171419,2719836,11289345
New Caledonia,Melanesia,99.31,0.69,100,0,193907,77223.01,286412,4180,65107,191572
New Zealand,Australia and New Zealand,100,0,100,0,4413152,677048,5061130,61790,965064,3307625
Nicaragua,Central America,83.22,13.53,80.27,12.94,3986789,2769106,6755900,139789,2053936,4360223
Niger,Western Africa,68.57,27.03,24.83,7.06,4045711,20287928,24333644,1053196,11910940,11830026
Nigeria,Western Africa,82.59,11.8,62.26,19.08,108242753,100084660,208327410,7322673,90626350,111445960
North Korea,,94.53,5.21,85.29,14.71,16136385,9731082,25867474,341966,4918276,18077662
Norway,Northern Europe,100,0,100,0,4463566,915909,5379836,53986,925934,3500060
Oman,Western Asia,99.71,0.26,100,0,3919863,623536,4543406,81705,1165087,3253084
Pakistan,Southern Asia,93.97,4.41,78.93,13.77,84437669,142759070,227196740,6061815,84681630,133031510
Palau,Micronesia,99.66,0.34,99.62,0.38,14555,3417,17999,274,3757,12586
Palestine,,98.91,1.09,99.62,0.24,3685020,1118249,5019407,142695,1981500,2865623
Panama,Central America,96.25,2.26,87.16,8.65,2937968,1356428,4294391,76183,1145692,2789527
Papua New Guinea,Melanesia,47.47,22.16,23.5,60.37,1301089,8448551,9749641,244984,3404273,6049600
Paraguay,South America,100,0,96.19,3.47,4115703,2502992,6618700,136894,1933131,4277707
Peru,South America,93.99,4.15,87.43,8.17,26076625,7228131,33304768,588437,8884004,21672276
Philippines,South-eastern Asia,96.97,3.03,93.38,2.84,53187498,59003480,112190984,2415213,34713210,71618950
Poland,Eastern Europe,99.97,0.03,100,0,22755739,15143331,38428370,364548,5897987,25469538
Portugal,Southern Europe,99.91,0.09,99.94,0.06,6827994,3469087,10298186,85722,1389809,6612220
Qatar,Western Asia,99.57,0.43,100,0,2739268,21117,2760390,29864,423764,2301956
Republic of the Congo,,,,,,,,,,,
Romania,Eastern Europe,100,0,87.33,12.67,10440610,8824640,19442040,200445,3114248,12694870
Russia,,97.61,2.39,89.39,10.61,107700434,36372704,145617330,1462500,25745824,97583220
Rwanda,Eastern Africa,82.74,13.15,84.22,13.81,2291674,10854688,13146367,386430,5170050,7568501
Samoa,Polynesia,98.36,1.42,99.46,0.39,38449,176480,214934,5860,81511,122638
San Marino,Southern Europe,100,0,100,0,33156,851,34038,209,4555,22773
Sao Tome and Principe,,,,,,,,,,,
Saudi Arabia,Western Asia,100,0,100,0,30340882,5656225,35997108,653125,9374031,25760354
Senegal,Western Africa,87.29,12.61,74.07,14.68,7909390,8526730,16436120,527272,6913872,9000708
Serbia,Southern Europe,99.54,0.44,97.9,2.07,3894281,3004845,7358010,68857,1039663,4791950
Seychelles,Eastern Africa,,,100,0,56661,41801,105545,1670,24523,72951
Sierra Leone,Western Africa,72.79,15.56,54.43,29.18,3534267,4699703,8233973,248589,3275899,4698937
Singapore,South-eastern Asia,100,0,100,0,5685807,0,5909874,48227,718155,4414320
Slovakia,Eastern Europe,100,0,99.95,0.05,2934665,2524162,5456681,56705,864445,3674193
Slovenia,Southern Europe,99.5,0.5,98.98,1.02,1158811,943608,2117648,19685,321937,1370042
Solomon Islands,Melanesia,73.1,21.27,40.61,14.6,170517,520674,691198,20526,273518,393739
Somalia,Eastern Africa,84.18,13.42,56.23,20.65,7630345,8906671,16537018,681262,7828577,8275858
South Africa,Southern Africa,96.66,1.41,93.24,6.54,39605450,19196476,58801930,1189889,16899480,38374016
South Korea,,99.93,0.07,99.94,0.06,42201956,9634283,51844690,301375,6307638,37330520
South Sudan,Eastern Africa,78.38,13.54,24.58,15.3,2142352,8463875,10606224,291394,4825570,5483613
Spain,Southern Europe,99.93,0.07,99.98,0.02,38276186,9089469,47363810,350467,6818321,31227836
Sri Lanka,Southern Asia,92.82,5.35,97.63,2.37,4101702,17817298,21715076,309418,5121982,14247218
St Kitts and Nevis,,,,,,,,,,,
St Vincent and the Grenadines,,,,,,,,,,,
Sudan,Northern Africa,87.12,3.65,45.26,30.73,15666605,28773880,44440484,1462374,18299546,24657520
Suriname,South America,99.06,0.38,96.04,2.74,401567,205498,607068,10918,162499,401372
Swaziland,,,,,,,,,,,
Sweden,Northern Europe,99.83,0.17,99.99,0.01,9108648,1244794,10368968,114457,1839983,6451814
Switzerland,Western Europe,100,0,100,0,6384901,2253266,8638609,84472,1300952,5720006
Syria,,99.8,0.2,99.5,0.5,11523597,9248998,20772602,390363,7160124,12667078
Tajikistan,Central Asia,84.42,3.42,99.37,0.63,2624955,6918252,9543211,256958,3482735,5751639
Tanzania,,72.01,14.52,50.42,38.68,21736651,39967868,61704520,2175841,27074322,32700276
Thailand,South-eastern Asia,100,0,99.97,0.03,36759934,34715730,71475660,658324,11483264,50092756
Togo,Western Africa,74.65,14.16,45.5,9.35,3613424,4829156,8442583,261142,3419062,4765332
Tonga,Polynesia,99.61,0.39,98.93,1.06,24313,80941,105265,2435,36915,61835
Trinidad and Tobago,,,,,,,,,,,
Tunisia,Northern Africa,99.17,0.83,98.97,1.03,8460667,3701056,12161720,202332,3034358,8084071
Turkey,Western Asia,99.04,0.74,99.57,0.27,64031267,20104160,84135430,1272525,19949402,57301988
Turkmenistan,Central Asia,100,0,99.82,0.18,3282480,2967958,6250442,136395,1952179,4003504
Uganda,Eastern Africa,83.14,12.17,37.41,57.91,11080727,33323884,44404610,1591577,20279636,23385718
Ukraine,Eastern Europe,99.6,0.08,100,0,30719437,13412612,43909664,344520,6730137,29631432
United Arab Emirates,Western Asia,99.97,0.03,100,0,8084399,1202890,9287286,98049,1387613,7746063
United Kingdom,,100,0,99.83,0.17,56282971,10798029,67059470,695204,11928773,42575480
Uruguay,South America,100,0,99.24,0.54,3275291,153795,3429087,36089,678850,2224279
Uzbekistan,Central Asia,97.83,0.22,100,0,17258430,16973620,33526662,807657,9980918,21913822
Vanuatu,Melanesia,92.29,0,68.24,31.46,79558,232127,311694,9123,123919,176197
Venezuela,,94.16,5.84,95.76,1.22,25151087,3339366,28490458,462991,8115290,18097542
Vietnam,,96.88,3.12,93.25,3.81,36088619,60560064,96648680,1471822,21932616,66571090
World,,93.72,4.71,85.75,7.91,4383714769,3435444000,7840953000,133345180,2013738800,5087737000
Yemen,Western Asia,89.63,7.78,59.09,31.17,12238236,20045810,32284044,967706,12974604,18431832
Zambia,Eastern Africa,71.57,21.58,51.7,37.05,8447250,10480465,18927716,633795,8267698,10332594
Zimbabwe,Eastern Africa,76.86,16.28,65.43,11.07,5052214,10617452,15669663,470340,6449021,8691594